"Title","Subtitle","CELEX number","EUROVOC descriptor","Subject matter","Directory code","Date of document",
"Agreement for co-operation in the peaceful uses of nuclear energy between the European Atomic Energy Community and the Government of the Republic of Kazakhstan","","22009A0115(01)","nuclear energy, peaceful use of energy, cooperation agreement (EU), EAEC, nuclear research, Kazakhstan","Nuclear common market, External relations, Cooperation","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, Asian countries, Nuclear research","2006-12-05",
"Commission Regulation (EC) No 1275/2008 of 17 December 2008 implementing Directive 2005/32/EC of the European Parliament and of the Council with regard to ecodesign requirements for standby and off mode electric power consumption of electrical and electronic household and office equipment (Text with EEA relevance)","","32008R1275","energy consumption, automatic game, electronic equipment, audiovisual equipment, clean technology, product design, household electrical appliance, electrical equipment, electrical energy, energy saving, information technology","Approximation of laws, Technical barriers, Energy","Industrial policy and internal market, Energy, Internal market: approximation of laws, General principles and programmes, Other sectors for approximation of laws, Rational utilisation and conservation of energy","2008-12-17",
"2008/952/EC: Commission Decision of 19 November 2008 establishing detailed guidelines for the implementation and application of Annex II to Directive 2004/8/EC of the European Parliament and of the Council (notified under document number C(2008) 7294) (Text with EEA relevance)","","32008D0952","energy policy, energy distribution, energy industry, electrical energy, energy saving, energy production, thermal energy, energy efficiency","Environment, Energy, Internal market - Principles","Energy, Energy, General principles and programmes, Statistics, Rational utilisation and conservation of energy","2008-11-19",
"Commission opinion of 7 May 2008 concerning the plan for the disposal of radioactive waste arising from the dismantling of the BR3 Pressurised Water Reactor, located at the SCK-CEN site in Belgium, in accordance with Article 37 of the Euratom Treaty (Text with EEA relevance)","","32008A0509(01)","pollution control, public health, Belgium, waste management, nuclear reactor, radioactive waste, radioactive effluent, health risk","Nuclear common market","Energy, Nuclear energy, Safeguards","2008-05-07",
"2008/114/EC,Euratom: Council Decision of 12 February 2008 establishing Statutes for the Euratom Supply Agency","","32008D0114","Euratom Supply Agency, legal status, legal capacity, financial autonomy","Nuclear common market, Provisions governing the Institutions, Supply agency","Energy, General, financial and institutional matters, Nuclear energy, Provisions governing the institutions","2008-02-12",
"2008/99/EC,Euratom: Commission Decision of 19 December 2007 concerning the accession of the European Atomic Energy Community to the Convention on the Physical Protection of Nuclear Material and Nuclear Facilities","","32008D0099","nuclear power station, nuclear fuel, accession to an agreement, international convention, EAEC, radioactive materials, nuclear safety","Nuclear common market, External relations","External relations, Environment, consumers and health protection, Energy, Multilateral relations, Environment, Nuclear energy, Other spheres of multilateral cooperation, International cooperation, Safeguards","2007-12-19",
"Convention on the Physical Protection of Nuclear Material and Nuclear Facilities","","22008A0208(01)","nuclear security, nuclear fuel, nuclear safety, international cooperation, nuclear power station, radioactive materials, international convention","External relations, Nuclear common market","External relations, Energy, Multilateral relations, Nuclear energy, Other spheres of multilateral cooperation, Safeguards","1980-03-03",
"2008/72/Euratom: Commission Decision of 22 November 2007 on the conclusion of Agreements in the form of Exchange of Letters between the European Atomic Energy Community (Euratom) and the Swiss Confederation (Switzerland) on the application of the ITER Agreement, the Agreement on Privileges and Immunities for ITER and the Broader Approach Agreement to the territory of Switzerland and on Switzerland’s membership in the European Joint Undertaking for ITER and the Development of Fusion Energy","","32008D0072","European Joint Undertaking, international agreement, accession to an agreement, nuclear fusion, Switzerland, international organisation, nuclear energy","Research and technological development, External relations, Nuclear common market","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Nuclear research, European countries, Member countries of the European Free Trade Association (EFTA)","2007-11-22",
"Commission opinion of 20 December 2007 concerning the amended plan for the disposal of radioactive waste from the Penly nuclear power station in France, in accordance with Article 37 of the Euratom Treaty","","32007A1221(01)","radioactive effluent, France, nuclear power station, radioactive pollution, public health","Nuclear common market","Energy, Nuclear energy, Safeguards","2007-12-20",
"2007/614/Euratom: Council Decision of 30 January 2007 concerning the conclusion, by the Commission, of the Agreement between the European Atomic Energy Community and the Government of Japan for the Joint Implementation of the Broader Approach Activities in the Field of Fusion Energy Research","","32007D0614","nuclear fusion, nuclear research, agreement (EU), Japan, EAEC, peaceful use of energy, ratification of an agreement","External relations, Nuclear common market","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Nuclear research, Asian countries","2007-01-30",
"Agreement between the European Atomic Energy Community and the Government of Japan for the Joint Implementation of the Broader Approach Activities in the Field of Fusion Energy Research","","22007A0921(01)","nuclear research, cooperation agreement (EU), nuclear fusion, EAEC, peaceful use of energy, Japan","Nuclear common market, External relations","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Nuclear research, Asian countries","2007-02-05",
"2007/513/Euratom: Council Decision of 10 July 2007 approving the accession of the European Atomic Energy Community to the amended Convention on the Physical Protection of Nuclear Material and Nuclear Facilities -  Declaration by the European Atomic Energy Community according to Articles 18(4) and 17(3) of the CPPNM","","32007D0513","nuclear fuel, accession to an agreement, nuclear power station, nuclear safety, international convention, EAEC, radioactive materials","External relations, Nuclear common market","Energy, Environment, consumers and health protection, External relations, Nuclear energy, Environment, Multilateral relations, Safeguards, International cooperation, Other spheres of multilateral cooperation","2007-07-10",
"Agreement on the privileges and immunities of the ITER International Fusion Energy Organization for the Joint Implementation of the ITER Project","","22006A1216(05)","nuclear research, nuclear fusion, legal status, international agreement, competence of the institution, international organisation, operation of the Institutions","External relations, Nuclear common market","External relations, Energy, Science, information, education and culture, Multilateral relations, Nuclear energy, Science, Other spheres of multilateral cooperation, Nuclear research, Research sectors","2006-11-21",
"Arrangement on Provisional Application of the Agreement on the Establishment of the ITER International Fusion Energy Organization for the Joint Implementation of the ITER Project","","22006A1216(04)","nuclear fusion, international agreement, interim agreement (EU), nuclear research, operation of the Institutions, competence of the institution, international organisation","External relations, Nuclear common market","Energy, External relations, Science, information, education and culture, Nuclear energy, Multilateral relations, Science, Nuclear research, Other spheres of multilateral cooperation, Research sectors","2006-11-21",
"2007/198/Euratom: Council Decision of 27 March 2007 establishing the European Joint Undertaking for ITER and the Development of Fusion Energy and conferring advantages upon it","","32007D0198","international organisation, nuclear reactor, European Joint Undertaking, Japan, financial regulation, nuclear fusion, board of management, joint venture, nuclear research","External relations, Energy","External relations, Energy, Multilateral relations, Nuclear energy, Other spheres of multilateral cooperation, Other measures relating to nuclear energy","2007-03-27",
"Agreement between the Government of Japan and the European Atomic Energy Community for co-operation in the peaceful uses of nuclear energy","","22007A0206(01)","nuclear technology, nuclear safety, EAEC, nuclear research, Japan, peaceful use of energy, nuclear energy, cooperation agreement (EU)","External relations, Nuclear common market","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Nuclear research, Asian countries","2006-08-24",
"Commission Decision of 28 August 2006 concerning the conclusion of an Agreement between the Government of Japan and the European Atomic Energy Community for co-operation in the peaceful uses of nuclear energy","","32007D0058","peaceful use of energy, EAEC, ratification of an agreement, nuclear energy, Japan, cooperation agreement (EU)","External relations, Nuclear common market","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, Asian countries","2006-08-28",
"2006/943/Euratom: Commission Decision of 17 November 2006 on Provisional Application of the Agreement on the Establishment of the ITER International Fusion Energy Organization for the Joint Implementation of the ITER Project and of the Agreement on Privileges and Immunities of the ITER International Fusion Energy Organization for the Joint Implementation of the ITER Project (notified under document number C(2006) 5557","","32006D0943","competence of the institution, international organisation, operation of the Institutions, nuclear fusion, international agreement, nuclear research","Nuclear common market, External relations, Energy","Science, information, education and culture, External relations, Energy, Science, Multilateral relations, Nuclear energy, Research sectors, Other spheres of multilateral cooperation, Nuclear research","2006-11-17",
"Agreement on the Establishment of the ITER International Fusion Energy Organization for the Joint Implementation of the ITER Project","","22006A1216(03)","nuclear research, international organisation, competence of the institution, operation of the Institutions, international agreement, nuclear fusion","External relations, Nuclear common market","External relations, Energy, Science, information, education and culture, Multilateral relations, Nuclear energy, Science, Other spheres of multilateral cooperation, Nuclear research, Research sectors","2006-11-21",
"2006/908/EC,Euratom: Council Decision of 4 December 2006 on the first instalment of the third Community contribution to the European Bank for Reconstruction and Development for the Chernobyl Shelter Fund","","32006D0908","EU aid, Ukraine, nuclear safety, nuclear accident, EBRD, environmental protection","Safety at work and elsewhere, External relations, Nuclear common market","External relations, Energy, Action in favour of countries in transition, Nuclear energy, European Bank for Reconstruction and Development, Safeguards","2006-12-04",
"2006/635/Euratom: Commission Decision of 4 April 2006 on the conclusion, by way of signature, of an Agreement for Co-operation in the Peaceful Uses of Nuclear Energy between the European Atomic Energy Community (Euratom) and the Cabinet of Ministers of Ukraine","","32006D0635","cooperation agreement (EU), ministry, nuclear energy, ratification of an agreement, Ukraine, EAEC, peaceful use of energy","External relations, Nuclear common market","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Nuclear research, European countries, Countries in transition","2005-04-04",
"Agreement between the European Atomic Energy Community and the Cabinet of Ministers of Ukraine for Co-operation in the Peaceful Uses of Nuclear Energy","","22006A0922(01)","cooperation agreement (EU), nuclear energy, Ukraine, peaceful use of energy, nuclear research, nuclear safety, nuclear technology, EAEC","Nuclear common market, External relations","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, European countries, Nuclear research, Other European countries","2005-04-28",
"2006/626/Euratom: Commission Decision of 15 February 2006 pursuant to Article 83 of the Treaty establishing the European Atomic Energy Community. A summary of the key provisions of the Decision are set out below, without prejudice to the full effect of the Decision itself (notified under document number C(2006) 412)   (Text with EEA relevance)","","32006D0626","nuclear power station, management, disclosure of information, accounting, report, United Kingdom, EAEC Treaty, nuclear safety","Nuclear common market","Energy, Nuclear energy, Safeguards","2006-02-15",
"2006/500/EC: Council Decision of  29 May 2006  on the conclusion by the European Community of the Energy Community Treaty","","32006D0500","ratification of an agreement, European treaties, energy policy, electrical energy, Central and Eastern Europe, natural gas","Anti-discrimination, Energy","External relations, General, financial and institutional matters, Energy, Bilateral agreements with non-member countries, General provisions, General principles and programmes","2006-05-29",
"The Energy Community Treaty","","22006A0720(01)","multilateral agreement, natural gas, electrical energy, energy policy, energy cooperation, Central and Eastern Europe, Energy Community, agreement (EU)","Energy, External relations","Energy, External relations, General principles and programmes, Multilateral relations, Other spheres of multilateral cooperation","2005-10-25",
"2006/375/EC: Commission Decision of  23 May 2006  derogation from certain provisions of Directive 2003/54/EC concerning the archipelago of Madeira  (notified under document number C(2006) 2008)","","32006D0375","Madeira, energy transport, energy production, single market, approximation of laws, energy supply, derogation from EU law, electrical energy, energy distribution","Energy, Internal market - Principles, Approximation of laws","Energy, Industrial policy and internal market, Electricity, Internal market: approximation of laws, Other sectors for approximation of laws","2006-05-23",
"Commission Recommendation of  15 December 2005  on guidelines for the application of Regulation (Euratom) No 302/2005 on the application of Euratom safeguards  (notified under document number C(2005) 5127)","","32006H0040","application of EU law, nuclear safety, EAEC","Environment, Nuclear common market","Energy, Nuclear energy, Safeguards","2005-12-15",
"Commission Regulation (Euratom) No 66/2006 of  16 January 2006  exempting the transfer of small quantities of ores, source materials and special fissile materials from the rules of the chapter on supplies","","32006R0066","radioactive materials, disclosure of information, trading operation, nuclear fuel, energy supply","Supply agency","Energy, Nuclear energy, Fuel supplies","2006-01-16",
"Commission Recommendation of  7 December 2005  on the release of security oil stocks following the supply disruption caused by Hurricane Katrina  (notified under document number C(2005) 4655)","","32005H0885","natural disaster, petroleum product, energy supply, energy storage, United States, petroleum, security of supply","Conjunctural policy, Energy","Energy, Oil and gas, Supplies and stocks","2005-12-07",
"Agreement for cooperation between the Government of the Republic of Kazakhstan and the European Atomic Energy Community in the field of controlled nuclear fusion","","22005A0607(01)","nuclear fusion, cooperation agreement (EU), nuclear energy, scientific cooperation, Kazakhstan, EAEC","Nuclear common market, Cooperation, External relations","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, Asian countries, Nuclear research","2002-11-29",
"2005/419/Euratom:Commission Decision of 27 November 2002 on the conclusion of a Cooperation Agreement between the European Atomic Energy Community and the Government of the Republic of Kazakhstan in the field of controlled nuclear fusion (notified under document number C(2002) 4572)","","32005D0419","EAEC, Kazakhstan, nuclear fusion, cooperation agreement (EU)","External relations, Nuclear common market","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Nuclear research, European countries, Countries in transition","2002-11-27",
"Commission Regulation (Euratom) No 302/2005 of 8 February 2005 on the application of Euratom safeguards - Council/Commission statement","","32005R0302","International Atomic Energy Agency, application of EU law, nuclear safety, EAEC","Environment, Nuclear common market","Energy, Nuclear energy, Safeguards","2005-02-08",
"2005/42/EC: Commission Decision of 22 December 2004 determining the Community position for a decision of the Management entities under the Agreement between the Government of the United States of America and the European Community on the coordination of energy-efficient labelling programmes for office equipment on the revision of Annex C, part II, defining monitor specifications","","32005D0042","screen, United States, agreement (EU), office equipment, technical standard, energy consumption, labelling, testing","Energy, External relations, Information and verification","Energy, External relations, Electricity, Bilateral agreements with non-member countries, North America","2004-12-22",
"2004/920/EC: Commission Decision of 20 December 2004 on a derogation from certain provisions of Directive 2003/54/EC of the European Parliament and of the Council concerning the archipelago of the Azores (notified under document number C(2004) 4880)","","32004D0920","single market, derogation from EU law, energy supply, Azores, electrical energy, energy distribution, energy transport, energy production","Energy, Internal market - Principles, Approximation of laws","Industrial policy and internal market, Energy, Internal market: approximation of laws, Electricity, Other sectors for approximation of laws","2004-12-20",
"Commission opinion of 22 June 2004 concerning the plan for the disposal of radioactive waste resulting from the modification of authorisations for discharges of liquid radioactive effluent from the Cattenom nuclear power station in France, in accordance with Article 37 of the Euratom Treaty","","32004A1016(01)","nuclear safety, radioactive effluent, France, nuclear power station","Health and safety, Safety at work and elsewhere, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy","2004-06-22",
"Commission Opinion of 5 February 2004 concerning the plan for the disposal of radioactive waste resulting from modifications to Site-1 of Belgoprocess plc in Belgium, in accordance with Article 37 of the Euratom Treaty","","32004A0207(01)","storage of waste, safety standard, Belgium, radioactive effluent, radioactive waste","Nuclear common market, Safety at work and elsewhere, Health and safety","Energy, Nuclear energy, Other measures relating to nuclear energy","2004-02-05",
"Commission opinion of 10 December 2003 concerning the plan for the disposal of radioactive waste arising from the decommissioning and complete dismantling of the research reactor TRIGA HD II and the complete dismantling of the decommissioned and safe-state research reactor TRIGA HD I at Heidelberg in Baden-Württemberg in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32003A1211(01)","radioactive pollution, nuclear reactor, Baden-Württemberg, radioactive effluent, radioactive waste, nuclear safety, decommissioning of power stations","Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Other measures relating to nuclear energy","2003-12-10",
"2003/744/Euratom: Council Decision of 22 September 2003 approving the conclusion by the Commission of an Agreement for cooperation in the peaceful uses of nuclear energy between the European Atomic Energy Community (Euratom) and the Government of the Republic of Uzbekistan","","32003D0744","nuclear energy, peaceful use of energy, cooperation agreement (EU), Uzbekistan","Nuclear common market, External relations, Cooperation","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, European countries, Other European countries","2003-09-22",
"Agreement for cooperation in the peaceful uses of nuclear energy between the European Atomic Energy Community (Euratom) and the Government of the Republic of Uzbekistan","","22003A1021(01)","cooperation agreement (EU), Uzbekistan, nuclear energy, peaceful use of energy","Cooperation, External relations, Nuclear common market","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, European countries, Other European countries","2003-10-06",
"Commission opinion of 20 October 2003 concerning the plan for the disposal of radioactive waste arising from the decommissioning and dismantling of the nuclear power plant KMK and the storage of radioactive wastes in the on-site storage facility at Mülheim-Kärlich in Rhineland-Palatinate in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32003A1022(02)","nuclear safety, decommissioning of power stations, storage of waste, Rhineland-Palatinate, radioactive waste, radioactive effluent, radioactive pollution","Safety at work and elsewhere, Health and safety, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy","2003-10-20",
"Commission opinion of 20 October 2003 concerning the plan for the disposal of radioactive waste arising from the decommissioning of the Hinkley Point A Power Station located in the United Kingdom, in accordance with Article 37 of the Euratom Treaty","","32003A1022(01)","radioactive waste, radioactive effluent, radioactive pollution, decommissioning of power stations, storage of waste, United Kingdom, nuclear safety","Health and safety, Safety at work and elsewhere, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy","2003-10-20",
"Commission opinion of 20 October 2003 concerning the plan for the disposal of radioactive waste arising from the dismantling of nuclear facilities including research reactors and hot cells at Risø National Laboratories on the island of Zealand in Denmark, in accordance with Article 37 of the Euratom Treaty","","32003A1022(03)","decommissioning of power stations, storage of waste, nuclear safety, radioactive effluent, radioactive waste, radioactive pollution, Denmark","Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Other measures relating to nuclear energy","2003-10-20",
"Commission opinion of 1 October 2003 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Philippsburg Nuclear Power Station KKP in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32003A1004(01)","Germany, nuclear safety, radioactive pollution, nuclear power station, radioactive effluent","Safety at work and elsewhere, Health and safety, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy","2003-10-01",
"Commission opinion of 29 July 2003 concerning the plan for the disposal of radioactive waste arising from the operation of the radioactive waste conditioning and storage facility (CEDRA) at the Cadarache site in France, in accordance with Article 37 of the Euratom Treaty","","32003A0801(01)","radioactive pollution, radioactive effluent, radioactive waste, nuclear accident, Provence-Alpes-Côte d'Azur, storage of waste, nuclear safety, waste disposal","Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Other measures relating to nuclear energy","2003-07-29",
"Protocol on Claims, Legal Proceedings and Indemnification to the Framework Agreement on a Multilateral Nuclear Environmental Programme in the Russian Federation","","22003A0624(02)","claim, framework agreement, indemnification, nuclear safety, multilateral agreement, nuclear policy, Russia, nuclear accident, protocol to an agreement, judicial proceedings","External relations, Environment, Nuclear common market","Energy, Environment, consumers and health protection, External relations, Nuclear energy, Environment, Bilateral agreements with non-member countries, Other measures relating to nuclear energy, International cooperation, European countries, Other European countries","2003-05-21",
"2003/462/EC: Council Decision of 19 May 2003 on the signing on behalf of the European Community and provisional application of a Framework Agreement on a Multilateral Nuclear Environmental Programme in the Russian Federation and its Protocol on Claims, Legal Proceedings and Indemnification and approving the conclusion by the Commission on behalf of the European Atomic Energy Community of the abovementioned Agreement and its Protocol","","32003D0462","","Environment, External relations, Nuclear common market","External relations, Energy, Environment, consumers and health protection, Bilateral agreements with non-member countries, Nuclear energy, Environment, European countries, Other measures relating to nuclear energy, International cooperation, Other European countries","2003-05-19",
"Framework agreement on a Multilateral Nuclear Environmental Programme in the Russian Federation","","22003A0624(01)","waste management, radioactive waste, Russia, nuclear policy, nuclear fuel, environmental protection, cooperation policy, framework agreement, nuclear safety, multilateral agreement","Nuclear common market, Environment, External relations","External relations, Environment, consumers and health protection, Energy, Bilateral agreements with non-member countries, Environment, Nuclear energy, European countries, International cooperation, Other measures relating to nuclear energy, Other European countries","2003-05-21",
"2003/269/EC: Council Decision of 8 April 2003 concerning the conclusion on behalf of the Community of the Agreement between the Government of the United States of America and the European Community on the coordination of energy-efficient labelling programmes for office equipment","","32003D0269","labelling, energy consumption, office equipment, United States, energy saving, agreement (EU)","Information and verification, External relations, Energy","External relations, Energy, Bilateral agreements with non-member countries, Electricity, North America","2003-04-08",
"Commission opinion of 29 January 2003 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Gundremmingen II Nuclear Power Station KRB II in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32003A0204(07)","Germany, nuclear safety, nuclear power station, radioactive pollution, radioactive effluent","Health and safety, Safety at work and elsewhere, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy","2003-01-29",
"2003/29/ECSC: Commission Decision of 17 July 2002 authorising the United Kingdom to grant aid to eight coal production units for 2001 and for the period from 1 January 2002 to 23 July 2002 (notified under document number C(2002) 2609) (Text with EEA relevance)","","32003D0029","coal industry, United Kingdom, support policy, State aid, control of State aid","Competition, Hard coal, State aids","Competition policy, Energy, State aids and other subsidies, Coal, Promotion of the coal industry","2002-07-17",
"Commission opinion of 27 November 2002 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Biblis Nuclear Power Station in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32002A1129(01)","prevention of pollution, radioactive effluent, nuclear power station, radioactive pollution, nuclear safety, Germany","Nuclear common market, Safety at work and elsewhere, Health and safety","Energy, Nuclear energy, Other measures relating to nuclear energy","2002-11-27",
"2002/924/Euratom: Commission Decision of 23 July 1999 on the conclusion of two cooperation agreements between the European Atomic Energy Community and the Cabinet of Ministers of Ukraine in the field of nuclear safety and in the field of controlled nuclear fusion (notified under document number C(1999) 2405)","","32002D0924","cooperation agreement (EU), nuclear fusion, nuclear safety, Ukraine, EAEC","Cooperation, External relations, Nuclear common market","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Nuclear research, European countries, Countries in transition","1999-07-23",
"Agreement for Cooperation between the European Atomic Energy Community and the Cabinet of Ministers of Ukraine in the field of nuclear safety","","22002A1127(01)","nuclear safety, environmental protection, cooperation policy, nuclear research, Ukraine, public safety, cooperation agreement (EU)","External relations, Cooperation, Nuclear common market","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, European countries, Safeguards, Countries in transition","1999-07-23",
"Agreement for Cooperation between the European Atomic Energy Community and the Cabinet of Ministers of Ukraine in the field of controlled nuclear fusion","","22002A1127(02)","EAEC, scientific cooperation, Ukraine, nuclear energy, cooperation agreement (EU), nuclear fusion","External relations, Cooperation, Nuclear common market","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Nuclear research, European countries, Other European countries","1999-07-23",
"Commission Opinion of 26 November 2002 concerning the plan for the disposal of radioactive waste arising from the operation of the MOX Demonstration Facility at Sellafield located in the United Kingdom, in accordance with Article 37 of the Euratom Treaty","","32002A1127(01)","nuclear safety, United Kingdom, project evaluation, radioactive pollution, nuclear power station, radioactive effluent","Health and safety, Safety at work and elsewhere, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy","2002-11-26",
"2002/871/EC: Commission Decision of 17 October 2002 establishing a joint framework for the communication of information needed for the application of Council Regulation (EC) No 1407/2002 on State aid to the coal industry (notified under document number C(2002) 3783)","","32002D0871","production, investment, coal industry, exchange of information, form, industrial restructuring, State aid","Hard coal, Competition, State aids","Competition policy, Energy, State aids and other subsidies, Coal, Promotion of the coal industry","2002-10-17",
"2002/826/ECSC: Commission decision of 2 July 2002 on financial measures by Spain in respect of the coal industry in 2001 and in the period 1 January 2002 to 23 July 2002 (Text with EEA relevance.) (notified under document number C(2002) 2438)","","32002D0826","control of State aid, State aid, industrial restructuring, severance pay, Spain, cessation of trading, coal industry","Hard coal, Competition, State aids","Competition policy, Energy, State aids and other subsidies, Coal, Promotion of the coal industry","2002-07-02",
"2002/827/ECSC: Commission decision of 2 July 2002 on the granting by Spain of aid to the undertaking González y Díez SA in 1998, 2000 and 2001 (Text with EEA relevance.) (notified under document number C(2002) 2441)","","32002D0827","control of State aid, State aid, aid for restructuring, coal industry, Spain","Hard coal, Competition, State aids","Competition policy, Energy, State aids and other subsidies, Coal, Promotion of the coal industry","2002-07-02",
"2002/786/ECSC: Commission decision of 5 May 2002 authorising the United Kingdom to grant aid to six coal production units for 2001 and for the period from 1 January 2002 to 23 July 2002 (Text with EEA relevance.) (notified under document number C(2002) 2016)","","32002D0786","United Kingdom, support policy, coal industry, production aid, control of State aid, State aid","Hard coal, Competition, State aids","Competition policy, Energy, State aids and other subsidies, Coal, Promotion of the coal industry","2002-06-05",
"2002/787/ECSC: Commission decision of 23 July 2002 concerning State aid to the French coal industry for 1998 to 2001 (Text with EEA relevance.) (notified under document number C(2002) 2792)","","32002D0787","redemption, control of State aid, State aid, France, production quota, coal industry","Hard coal, Competition, State aids","Competition policy, Energy, State aids and other subsidies, Coal, Promotion of the coal industry","2002-07-23",
"Commission opinion of 10 October 2002 concerning the plan for the disposal of radioactive waste arising from the dismantling of the Hunterston A power station located in the United Kingdom, in accordance with Article 37 of the Euratom Treaty","","32002A1016(01)","decommissioning of power stations, nuclear safety, United Kingdom, radioactive effluent, nuclear power station, radioactive pollution","Safety at work and elsewhere, Health and safety, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy","2002-10-10",
"Commission Opinion of 30 August 2002 concerning the plan for the disposal of radioactive waste arising from the dismantling of the UKAEA Dounreay Fast Reactor located in the United Kingdom in accordance with Article 37 of the Euratom Treaty","","32002A0903(02)","United Kingdom, nuclear safety, nuclear reactor, radioactive effluent, radioactive waste, nuclear power station, pollution control","Nuclear common market, Safety at work and elsewhere, Health and safety","Energy, Nuclear energy, Other measures relating to nuclear energy","2002-08-30",
"Commission Opinion of 30 August 2002 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Neckarwestheim Nuclear Power Station GKN in the Federal Republic of Germany in accordance with Article 37 of the Euratom Treaty","","32002A0903(03)","pollution control, radioactive effluent, radioactive waste, nuclear power station, nuclear safety, Germany","Nuclear common market, Health and safety, Safety at work and elsewhere","Energy, Nuclear energy, Other measures relating to nuclear energy","2002-08-30",
"Commission Opinion of 30 August 2002 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Isar Nuclear Power Station KKI in the Federal Republic of Germany in accordance with Article 37 of the Euratom Treaty","","32002A0903(01)","Germany, nuclear safety, radioactive effluent, radioactive waste, nuclear power station, pollution control","Nuclear common market, Safety at work and elsewhere, Health and safety","Energy, Nuclear energy, Other measures relating to nuclear energy","2002-08-30",
"Commission opinion of 13 August 2002 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Brunsbüttel Nuclear Power Station KKB in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32002A0822(02)","nuclear power station, radioactive effluent, Germany, nuclear safety","Health and safety, Nuclear common market, Safety at work and elsewhere","Energy, Nuclear energy, Other measures relating to nuclear energy","2002-08-13",
"Commission opinion of 13 August 2002 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Krümmel Nuclear Power Station KKK in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32002A0822(01)","nuclear safety, nuclear power station, Germany, radioactive effluent","Safety at work and elsewhere, Health and safety, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy","2002-08-13",
"Commission Decision of 24 April 2002 authorising the United Kingdom to grant aid to four coal production units for 2001 (Text with EEA relevance) (notified under document number C(2002) 1447)","","32002D0582","State aid, control of State aid, coal, United Kingdom, coal industry, exchange of information, production aid, Northern Ireland","State aids, Hard coal","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","2002-04-24",
"Commission Decision of 22 May 2002 on the granting by Spain of aid to the undertaking Hunosa in 1998, 1999, 2000 and 2001 (Text with EEA relevance) (notified under document number C(2002) 1895)","","32002D0583","State aid, financial aid, redemption, control of State aid, coal, production quota, Spain, coal industry, exchange of information","State aids, Hard coal","Energy, Competition policy, Coal, State aids and other subsidies, Promotion of the coal industry","2002-05-22",
"Commission Decision of 9 April 2002 concerning the use of State aid to the French coal industry for 1994 to 1997 (Text with EEA relevance) (notified under document number C(2002) 1329)","","32002D0541","France, control of State aid, redemption, State aid, coal industry, production quota, industrial statistics","Competition, Hard coal, State aids","Competition policy, Energy, State aids and other subsidies, Coal, Promotion of the coal industry","2002-04-09",
"Commission opinion of 21 June 2002 concerning the plan for the disposal of radioactive waste resulting from modifications at the site of the Grafenrheinfeld Nuclear Power Station KKG in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32002A0625(01)","Germany, project evaluation, radioactive effluent, radioactive pollution, nuclear power station","Safety at work and elsewhere, Health and safety, Nuclear common market","Energy, Nuclear energy, Other measures relating to nuclear energy","2002-06-21",
